小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
万家星城,399,45455,87.78,70.39,2018/2/1,2012/6/9,下城,三塘
恒泰御庭园,420,30234,138.92,暂无数,2018/3/1,2008/3/17,萧山,钱江世纪城
丁桥景园北苑,218,26187,83.25,暂无数,2018/3/4,2009/11/27,江干,丁桥
丁桥兰苑,225,26956,83.47,暂无数,2018/3/18,2006/6/6,江干,丁桥
墅林苑,483,42324,114.12,暂无数,2018/3/22,2006/4/5,拱墅,信义坊
广厦天都城天湖苑,400,17234,232.11,暂无数,2018/4/12,2006/8/26,余杭,星桥
海棠公寓,310,35421,87.52,68.98,2018/4/19,2009/12/21,江干,九堡
太阳国际公寓,800,47725,167.63,暂无数,2018/4/21,2008/6/30,滨江,彩虹城
海棠公寓,310,35421,87.52,68.98,2018/4/19,2009/12/21,江干,九堡
太阳国际公寓,800,47725,167.63,暂无数,2018/4/21,2008/6/30,滨江,彩虹城
金都雅苑,299,30664,97.51,87.68,2018/5/1,2006/9/19,余杭,翡翠城
大关东二苑,250,40077,62.38,55.56,2018/5/31,2001/2/27,拱墅,大关
青春坊,502,48409,103.7,暂无数,2018/6/16,2007/4/3,下城,长庆
白荡海人家,435,61799,70.39,暂无数,2018/6/19,2009/6/9,西湖,文教
宋都东郡国际,245,27687,88.49,63.5,2018/6/24,2012/11/14,下沙,大学城北
青园小区,480,49943,96.11,73.55,2018/6/28,2009/8/18,下城,朝晖
滨江金色家园,789,68431,115.3,暂无数,2018/6/28,2016/5/11,上城,南星
保安桥河下,230,43660,52.68,暂无数,2018/6/30,2000/6/8,上城,鼓楼
大华海派风景,295,34788,84.8,69.49,2018/7/13,2013/8/30,余杭,万达广场
东张家弄,190,22176,85.68,暂无数,2018/7/15,1995/1/27,萧山,萧山市区
北城铭苑,185,29525,62.66,暂无数,2018/7/20,2012/7/25,江干,丁桥
大王庙巷小区,225,42890,52.46,暂无数,2018/7/23,2011/8/2,上城,清泰
